objectid,filename,youtubeid,title,format,description,creator,date,subject,location,latitude,longitude,source,findingaid,original-identifier,identifier,rights,rightsstatement,rights holder,language,relation
owl-trust-pg1,owl-trust-pg1,,Oregon Women's Land Trust Map,application/pdf,"Part one of an 8 part document for the Oregon women's land trust, map of the area in Southern Oregon",Tee Corrine,,,,,,http://www.oregonwomenslandtrust.org/about,,owl-land-trust_2004,owl-land-trust_2004,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,The Oregon Women's Land Trust,English,
lesbian-photography-1,lesbian-photography-page1_2,,Lesbian Photography pages 1 and 2 of booklet,application/pdf,"Pages 1 and 2 of Tee Corrine's Lesbian Photography booklet, both pages have a variety of collaged photos",Tee Corrine,unknown,"Photography, Tee Corrine, photos, 1970s, 1980s, 1990s",,,,Uo Special Collections,Lesbian Photography ,lesbian-photography,lesbian-photography,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,Tee Corrine,English,
womanspirit-sketch,womanspirit-sketch-signed_jakie,,Womanspirit Logo Sketch ,image/jpg,A sketch for a Womanspirit logo sent to Jean and signed by a correspondent named Jackie,Jackie unknown last name,1994-05-30,"Womanspirit, art, sketch, Ruth Mountaingrove letters",,,,UO Special Collections,"Rootworks series, I.J. 1984-1996",womenspirit-sketch,womenspirit-sketch,unknown,,UO Special Collections,English,
winter-solstice-sketch,winter-solstice_1992,,Winter Solstice Art ,image/jpg,"A piece of art that says ""1992"" and ""Winter Solstice"", possible festival logo",,1992,"Rootworks, solstice, art","Rootworks Farm, Sunny Valley, Oregon",42.6390° N,-123.3756° W,UO Special Collections,"Rootworks series, I.J. 1984-1996",winter-solstice-sketch,winter-solstice-sketch,unknown,,UO Special Collections,English,
owl-trust-photo,owl-trust-photo,,Photo taken at OWL Trust farm,image/jpg,"Photo of women sitting in a circle at the OWL Trust farm, conducting a counsil gathering",,1977,"OWL Trust, photo","OWL Trust Farm, Roseberg, Oregon",43.2165° N,-123.3417° W,,,OWL-Trust-photo,owl-trust-photo,possible copyright,,OWL Trust,,
poem-about-ruth,poem-about-ruth,,A poem about Ruth Mountaingrove,image/jpg,A typed poem about Ruth Mountaingrove signed by Lora,Lora unknown last name,1986-02,"Ruth Mountaingrove, poetry",,,,UO Special Collections,"Rootworks series, I.J. 1984-1996",poem-about-ruth,poem-about-ruth,unknown,,OWL Trust,English,
owl-trust-pg8,owl-trust-pg8,,Oregon Women's land Trust page 8,application/pdf,"The last page of the OWL trust booklet, that finishes a ""herstory"" telling of the trust, signed by Sierra Portland","Tee Corrine, Sierra Portland, OWL",2004-08-02,"OWL Trust, personal history, Sierra Portland","OWL Trust Farm, Roseberg, Oregon",43.2165,-123.3417,http://www.oregonwomenslandtrust.org/about,,owl-trust-pg8,owl-trust-pg8,unknown,,OWL Trust,English,
owl-trust-pg2,owl-trust-pg2,,Oregon Women's Land Trust page 2,application/pdf,The contents page of the OWL trust booklet,"Tee Corrine, OWL",2004-08-02,"OWL Trust, Tee Corrine","OWL Trust Farm, Roseberg, Oregon",43.2165,-123.3417,http://www.oregonwomenslandtrust.org/about,,owl-trust-pg2,owl-trust-pg2,unknown,,OWL Trust,English,
owl-trust-pg3,owl-trust-pg3,,Oregon Women's Land Trust page 3,application/pdf,OWL Trust history June 1975-May 1976,"Tee Corrine, OWL",2004-08-02,"OWL Trust, Tee Corrine, 1976, 1977","OWL Trust Farm, Roseberg, Oregon",43.2165,-123.3417,http://www.oregonwomenslandtrust.org/about,,owl-trust-pg3,owl-trust-pg3,unknown,,OWL Trust,English,
owl-trust-pg4,owl-trust-pg4,,Oregon Women's Land Trust page 4,application/pdf,OWL Trust history Summer 1976- January 1977,"Tee Corrine, OWL",2004-08-02,"OWL Trust, Tee Corrine, 1976, 1977","OWL Trust Farm, Roseberg, Oregon",43.2165,-123.3417,http://www.oregonwomenslandtrust.org/about,,owl-trust-pg4,owl-trust-pg4,unknown,,OWL Trust,English,
oregon-historical-quarterly,heather-burmeister-oregon-historical-quarterly,,Women's Lands in Southern Oregon: Jean Mountaingrove and Bethroot Gwynn Tell Their Stories,application/pdf,"Heather Burmeister's article on the oral histories she conducted with women from the Lesbian Lands movement, publihsed in the Oregon Historical Quarterly","Heather Burmeister, Oregon Historical Quarterly",unknown,"Lesbian Lands, Ruth Mountaingrove, Jean Mountaingrove, Bethroot Gwinn, Tee Corrine, OWL Trust",,,,Oregon Historical Quarterly,,Women's Lands in Southern Oregon: Jean Mountaingrove and Bethroot Gwynn Tell Their Stories,heather-burmeister-oregon-historical-quarterly,unknown,,"Oregon Historical Quarterly, Heather Burmeister",English,
directions-to-rootworks_1,directions-to-rootworks_1,,Drawn map to Rootworks,image/jpg,Drawn map of the directions to Rootworks with notes ,,unknown,Rootworks ,"Rootworks Farm, Sunny Valley, Oregon",42.6390,-123.3756,UO Special Collections,"Rootworks, series l, Rootwork Retreats, 1986-1993, 1/13",directions-to-rootworks_1,directions-to-rootworks_1,unknown,,UO Special Collections,English,
directions-to-rootworks_2,directions-to-rootworks_2,,Drawn  map to Rootworks,image/jpg,Drawn map of the directions to Rootworks,,unknown,Rootworks,"Rootworks Farm, Sunny Valley, Oregon",42.6390,-123.3756,UO Special Collections,"Rootworks, series l, Rootwork Retreats, 1986-1993, 1/13",directions-to-rootworks_2,directions-to-rootworks_2,unknown,,UO Special Collections,English,
directions-to-rootworks_3,directions-to-rootworks_3,,Written directions to Rootworks,image/jpg,Written directions to Rootworks,,unknown,Rootworks,"Rootworks Farm, Sunny Valley, Oregon",42.6390,-123.3756,UO Special Collections,"Rootworks, series l, Rootwork Retreats, 1986-1993, 1/13",directions-to-rootworks_3,directions-to-rootworks_3,unknown,,UO Special Collections,English,
