objectid,filename,youtubeid,title,format,description,creator,date,subject,location,latitude,longitude,source,findingaid,original-identifier,identifier,rights,rightsstatement,rights holder,language,relation
owl-land-trust_2004,owl-trust.pdf,,Oregon Women's Land Trust,application/pdf,"A resource book for the Oregon Women's Land Trust from 2004 with a map, herstory, events, and resources",Tee Corrine,2004-08-02,"OWL Trust, map, herstory, garden parties, resources","Roseberg, Oregon",43.216503,-123.341736,http://www.oregonwomenslandtrust.org/about,,owl-land-trust_2004,owl-land-trust_2004,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,The Oregon Women's Land Trust,English,
lesbian-photography,lesbian-photography,,Lesbian Photography on the U.S. West Coast 1970-1997,application/pdf,"Booklet on Lesbian Photography from 1970-197 by Tee Corrine, has some photos but mostly text",Tee Corrine,1998,"Photography, Tee Corrine",unkown,,,UO Special Collections,,lesbian-photography,lesbian-photography,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,Tee Corrine,English,
womanspirit-sketch,womanspirit-sketch-signed_jakie,,Womanspirit Logo Sketch ,image/jpg,A sketch for a Womanspirit logo sent to Jean and signed by a correspondent named Jackie,Jackie unknown last name,1994-05-30,"Womanspirit, art, sketch, Ruth Mountaingrove letters",unknown,,,UO Special Collections,"Rootworks series, I.J. 1984-1996",womenspirit-sketch,womenspirit-sketch,unknown,,UO Special Collections,English,
winter-solstice-sketch,winter-solstice_1992,,Winter Solstice Art ,image/jpg,"A piece of art that says ""1992"" and ""Winter Solstice"", possible festival logo",unknown,1992,"Rootworks, solstice, art",unknown,,,UO Special Collections,"Rootworks series, I.J. 1984-1996",winter-solstice-sketch,winter-solstice-sketch,unknown,,UO Special Collections,English,
owl-trust-photo,owl-trust-photo,,Photo taken at OWL Trust farm,image/jpg,"Photo of women sitting in a circle at the OWL Trust farm, conducting a counsil gathering",unknown,1977,"OWL Trust, photo",OWL Trust Farm,,,,,OWL-Trust-photo,owl-trust-photo,possible copyright,,OWL Trust,,
poem-about-ruth,poem-about-ruth,,A poem about Ruth Mountaingrove,image/jpg,A typed poem about Ruth Mountaingrove signed by Lora,Lora unknown last name,1986-02,"Ruth Mountaingrove, poetry",unknown,,,UO Special Collections,"Rootworks series, I.J. 1984-1996",poem-about-ruth,poem-about-ruth,unknown,,UO Special Collections,English,
letter-to-jean,letter-to-jean,,A letter to Jean Mountaingrove,application/pdf,A letter written to Jean Mountaingrove from a correspondent named La Verne,La Verne,1986-06-23,"Jean Mountiangrove, Eugene, Cabbage Lane",unknown,,,UO Special Collections,"Rootworks series, I.J. 1984-1996",letter-to-jean,letter-to-jean,unknown,,UO Special Collections,English,
jean-mountaingrove-oral-history,jean-mountaingrove-oral-history,,Jean Mountaingrove's Oral History,application/pdf,An oral history of Jean Mountaingrove conducted by Heather Burmeister from Portland State University,Heather Burmeister,2010-10-25,"Jean Mountiangrove, oral history, Rootworks, Cabbage Lane, Golden, Seperatism, Lesbianism","Wolf Creek, Oregon",42.6954,123.3953,UO Special Collections,"Southern Oregon Lesbian Lands Communities Oral History, Coll 429",Jean Mountaingrove Oral History 1/5,jean-mountaingrove-oral-history,unknown,,UO Special Collections,English,
ruth-mountaingrove-oral-history,ruth-mountaingrove-oral-history,,Ruth Mountaingrove's Oral History,application/pdf,An oral history of Ruth Mountaingrove conducted by Heather Burmeister from Portland State University,Heather Burmeister,2010-09-23,Ruth Moutaingrove,"Wolf Creek, Oregon",42.6954,123.3953,UO Special Collections,"Southern Oregon Lesbian Lands Communities Oral History, Coll 429",Ruth Mountaingrove Oral History 1/5,ruth-mountaingrove-oral-history,unknown,,UO Special Collections,English,
bethroot-gwynn-oral-histoy,bethroot-gwinn-oral-history,,Bethroot Gwinn's Oral History,application/pdf,"An oral history of Bethroot Gwyinn conducted by Heather Burmeister from Portland State University, partial interview",Heather Burmeister,2011-01-23,"Bethroot Gwinn, Fly Away Home, Womens Liberation, Back to the Land",unknown,,,UO Special Collections,"Southern Oregon Lesbian Lands Communities Oral History, Coll 429",Bethroot Gwinn Oral History 1/3,bethroot-gwinn-oral-history,unknown,,UO Special Collections,English,
oregon-historical-quarterly,heather-burmeister-oregon-historical-quarterly,,Women's Lands in Southern Oregon: Jean Mountaingrove and Bethroot Gwynn Tell Their Stories,application/pdf,"Heather Burmeister's article on the oral histories she conducted with women from the Lesbian Lands movement, publihsed in the Oregon Historical Quarterly","Heather Burmeister, Oregon Historical Quarterly",unknown,"Lesbian Lands, Ruth Mountaingrove, Jean Mountaingrove, Bethroot Gwinn, Tee Corrine, OWL Trust",unknown,,,Oregon Historical Quarterly,,Women's Lands in Southern Oregon: Jean Mountaingrove and Bethroot Gwynn Tell Their Stories,heather-burmeister-oregon-historical-quarterly,unknown,,"Oregon Historical Quarterly, Heather Burmeister",English,
